Contact name input ▽,processing,,,,,,,,#1 Frame nodes,
Frame contact No.,X,Y,Z,接点名,３D,X,Y,Z,Top of upper level sandbag with foundation on top,
1248,6.900 ,9.900 ,0.000 ,      1248,        3D,     6.900,     9.900,     0.000,      1248        3D     6.900     9.900     0.000,
1249,7.350 ,9.900 ,0.000 ,      1249,        3D,     7.350,     9.900,     0.000,      1249        3D     7.350     9.900     0.000,
1250,7.800 ,9.900 ,0.000 ,      1250,        3D,     7.800,     9.900,     0.000,      1250        3D     7.800     9.900     0.000,
1251,12.000 ,9.900 ,0.000 ,      1251,        3D,    12.000,     9.900,     0.000,      1251        3D    12.000     9.900     0.000,
1252,12.450 ,9.900 ,0.000 ,      1252,        3D,    12.450,     9.900,     0.000,      1252        3D    12.450     9.900     0.000,
1253,12.900 ,9.900 ,0.000 ,      1253,        3D,    12.900,     9.900,     0.000,      1253        3D    12.900     9.900     0.000,
1254,13.350 ,9.900 ,0.000 ,      1254,        3D,    13.350,     9.900,     0.000,      1254        3D    13.350     9.900     0.000,
1255,13.800 ,9.900 ,0.000 ,      1255,        3D,    13.800,     9.900,     0.000,      1255        3D    13.800     9.900     0.000,
1256,18.000 ,9.900 ,0.000 ,      1256,        3D,    18.000,     9.900,     0.000,      1256        3D    18.000     9.900     0.000,
1257,18.450 ,9.900 ,0.000 ,      1257,        3D,    18.450,     9.900,     0.000,      1257        3D    18.450     9.900     0.000,
1258,18.900 ,9.900 ,0.000 ,      1258,        3D,    18.900,     9.900,     0.000,      1258        3D    18.900     9.900     0.000,
1259,19.350 ,9.900 ,0.000 ,      1259,        3D,    19.350,     9.900,     0.000,      1259        3D    19.350     9.900     0.000,
1260,19.800 ,9.900 ,0.000 ,      1260,        3D,    19.800,     9.900,     0.000,      1260        3D    19.800     9.900     0.000,
1261,0.000 ,10.350 ,0.000 ,      1261,        3D,     0.000,    10.350,     0.000,      1261        3D     0.000    10.350     0.000,
1262,0.450 ,10.350 ,0.000 ,      1262,        3D,     0.450,    10.350,     0.000,      1262        3D     0.450    10.350     0.000,
1263,0.900 ,10.350 ,0.000 ,      1263,        3D,     0.900,    10.350,     0.000,      1263        3D     0.900    10.350     0.000,
1264,1.350 ,10.350 ,0.000 ,      1264,        3D,     1.350,    10.350,     0.000,      1264        3D     1.350    10.350     0.000,
1265,1.800 ,10.350 ,0.000 ,      1265,        3D,     1.800,    10.350,     0.000,      1265        3D     1.800    10.350     0.000,
1266,6.000 ,10.350 ,0.000 ,      1266,        3D,     6.000,    10.350,     0.000,      1266        3D     6.000    10.350     0.000,
1267,6.450 ,10.350 ,0.000 ,      1267,        3D,     6.450,    10.350,     0.000,      1267        3D     6.450    10.350     0.000,
1268,6.900 ,10.350 ,0.000 ,      1268,        3D,     6.900,    10.350,     0.000,      1268        3D     6.900    10.350     0.000,
1269,7.350 ,10.350 ,0.000 ,      1269,        3D,     7.350,    10.350,     0.000,      1269        3D     7.350    10.350     0.000,
1270,7.800 ,10.350 ,0.000 ,      1270,        3D,     7.800,    10.350,     0.000,      1270        3D     7.800    10.350     0.000,
1271,12.000 ,10.350 ,0.000 ,      1271,        3D,    12.000,    10.350,     0.000,      1271        3D    12.000    10.350     0.000,
1272,12.450 ,10.350 ,0.000 ,      1272,        3D,    12.450,    10.350,     0.000,      1272        3D    12.450    10.350     0.000,
1273,12.900 ,10.350 ,0.000 ,      1273,        3D,    12.900,    10.350,     0.000,      1273        3D    12.900    10.350     0.000,
1274,13.350 ,10.350 ,0.000 ,      1274,        3D,    13.350,    10.350,     0.000,      1274        3D    13.350    10.350     0.000,
1275,13.800 ,10.350 ,0.000 ,      1275,        3D,    13.800,    10.350,     0.000,      1275        3D    13.800    10.350     0.000,
1276,18.000 ,10.350 ,0.000 ,      1276,        3D,    18.000,    10.350,     0.000,      1276        3D    18.000    10.350     0.000,
1277,18.450 ,10.350 ,0.000 ,      1277,        3D,    18.450,    10.350,     0.000,      1277        3D    18.450    10.350     0.000,
1278,18.900 ,10.350 ,0.000 ,      1278,        3D,    18.900,    10.350,     0.000,      1278        3D    18.900    10.350     0.000,
1279,19.350 ,10.350 ,0.000 ,      1279,        3D,    19.350,    10.350,     0.000,      1279        3D    19.350    10.350     0.000,
1280,19.800 ,10.350 ,0.000 ,      1280,        3D,    19.800,    10.350,     0.000,      1280        3D    19.800    10.350     0.000,
1281,0.000 ,10.800 ,0.000 ,      1281,        3D,     0.000,    10.800,     0.000,      1281        3D     0.000    10.800     0.000,
1282,0.450 ,10.800 ,0.000 ,      1282,        3D,     0.450,    10.800,     0.000,      1282        3D     0.450    10.800     0.000,
1283,0.900 ,10.800 ,0.000 ,      1283,        3D,     0.900,    10.800,     0.000,      1283        3D     0.900    10.800     0.000,
1284,1.350 ,10.800 ,0.000 ,      1284,        3D,     1.350,    10.800,     0.000,      1284        3D     1.350    10.800     0.000,
1285,1.800 ,10.800 ,0.000 ,      1285,        3D,     1.800,    10.800,     0.000,      1285        3D     1.800    10.800     0.000,
1286,6.000 ,10.800 ,0.000 ,      1286,        3D,     6.000,    10.800,     0.000,      1286        3D     6.000    10.800     0.000,
1287,6.450 ,10.800 ,0.000 ,      1287,        3D,     6.450,    10.800,     0.000,      1287        3D     6.450    10.800     0.000,
1288,6.900 ,10.800 ,0.000 ,      1288,        3D,     6.900,    10.800,     0.000,      1288        3D     6.900    10.800     0.000,
1289,7.350 ,10.800 ,0.000 ,      1289,        3D,     7.350,    10.800,     0.000,      1289        3D     7.350    10.800     0.000,
